lurkroom_c546b7ece70f4e48a2f9fb4a7e9a51e9,void,lurkroom_c546b7ece70f4e48a2f9fb4a7e9a51e9,lurkroom_c546b7ece70f4e48a2f9fb4a7e9a51e9,lurkroom_c546b7ece70f4e48a2f9fb4a7e9a51e9,lurkroom_c546b7ece70f4e48a2f9fb4a7e9a51e9,lurkroom_c546b7ece70f4e48a2f9fb4a7e9a51e9,,1
09a7b9b298e946bdbf5d6a7eedc97123,golden_rill,47664841bcef424eaaa960c89b124cc8,9cbdc145d0e04864bb58b49ef7a0c5dc,86ca48656c6b46358cf2fb5d590438e9,9cbdc145d0e04864bb58b49ef7a0c5dc,09a7b9b298e946bdbf5d6a7eedc97123,,1
5955d5e1293b4980b4d1c1bc17b35eb2,golden_rill,b0e5885a8a60407a9d800d3ea3567cc2,38bb4d32af774ab0a939e47768df6d8f,0f6d065feb26452fa3797087f9e694af,38bb4d32af774ab0a939e47768df6d8f,5955d5e1293b4980b4d1c1bc17b35eb2,,1
83e79cb667c34338aa5bb3c34aff46c9,golden_rill,dec7423bc1854bfda7a007106c18e745,d7f4d0fb88b0492c94b8ee7581cc0d39,e911caa5ce1243fca204c755ae8464bf,d7f4d0fb88b0492c94b8ee7581cc0d39,83e79cb667c34338aa5bb3c34aff46c9,,1
938063f445cc456f9b5b34cbe10e6d2d,grass,938063f445cc456f9b5b34cbe10e6d2d,79ed51432f014ba8b5ee01efaaab19b9,5915bbad9bbf43749fd00b322d08453b,7ac73f36993444d59423146e23c3a9da,938063f445cc456f9b5b34cbe10e6d2d,,1
99e774120bc54d7ea3d009a254092a8c_3901f1fc6c554eacb8f8397576751c0d,void,99e774120bc54d7ea3d009a254092a8c_11145af4d1054457abf2897871dab12b,99e774120bc54d7ea3d009a254092a8c_4a8925e1b529422190364b3496fedd9b,99e774120bc54d7ea3d009a254092a8c_c4b28e4a0fe440d3a0edd4ffcf0bf7ee,99e774120bc54d7ea3d009a254092a8c_eye,99e774120bc54d7ea3d009a254092a8c_3901f1fc6c554eacb8f8397576751c0d,tut popo poporo/ tut po poro,1
b1067fdb9d7f43449c8e01c61de2041c,grass,39634f298f3844c89221202ee29ab9cf,7d039c0e1b7a4ff08291890f9b8c0b0a,22aea04e8bce4976a99fc057c2df6233,67aaf6901f944aaea686ac7fcd1dce6d,b1067fdb9d7f43449c8e01c61de2041c,,1
6ad323d63a4b442caff94c5d3a8fed62,golden_rill,a3ce928e583c4904a9353746e1185313,zoomie_down,6b4daf333fa2429bae7621298f64a965,zoomie_down,6ad323d63a4b442caff94c5d3a8fed62,,1
to_colors_up,arch,translocation,transmutation,air,8943e1c293a3403d9459ef24764bf804,to_colors_up,,1
a472bdb2a1e34e18a337d3201151139f,grass,fc71454a60c648d0a41933ec28d6378b,0d515cba6b3c4c08a032a4fba09182c8,cb5a142ce7a94db78b3e7234f51b8b36,3ae1c1cff8c64f49b95f30d72cb12d54,a472bdb2a1e34e18a337d3201151139f,,1
66c88ee094c64a72b1f0050dcb7b87ce,grass,91eec8e5cdcf465aa81cebd37077f8b7,eb8c7c5ea6934011b259f400b4eed802,66c88ee094c64a72b1f0050dcb7b87ce,f67ffc83cb4942b8acfe2595bf2ab414,66c88ee094c64a72b1f0050dcb7b87ce,,1
9321321dbd124283a888aa4302a9a8c9,grass,7ba2e740710749f9bfb11ae048c8c8ea,c8df379aceb24d31a6962183fb6d64e4,f00e4d5f95c841eb8ab3b956191ac429,01b69c39940747a7ab2d09cab4c75503,9321321dbd124283a888aa4302a9a8c9,,1
c05aa0cb12d44ca5a9224e6b67afa0b0,darkness,215a5ebf42414fb3bae3c730fc3db221,5b248e87c05f42c7aac427598983c258,c05aa0cb12d44ca5a9224e6b67afa0b0,918bfa4dfd3f4a09967a079f723033c7,c05aa0cb12d44ca5a9224e6b67afa0b0,,1
